Station,Date,"Daily Rainfall 
Total (mm)",Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1/8/2024,0,0,0,0,28.8,32.7,25.7,9.7,44.4
Changi,2/8/2024,0,0,0,0,29.1,32.3,27.5,9.6,46.3
Changi,3/8/2024,3,1.8,3,3,29.6,33.3,27.5,12.1,44.4
Changi,4/8/2024,32.4,15.2,17.2,17.4,27.3,30,23.8,9.2,40.7
Changi,5/8/2024,0.8,0.8,0.8,0.8,28.2,32.4,25.4,11.4,37
Changi,6/8/2024,0,0,0,0,29.3,33,27,12.8,38.9
Changi,7/8/2024,1.2,1.2,1.2,1.2,29.2,32,27.7,11.4,40.7
Changi,8/8/2024,1.2,0.8,1.2,1.2,29.5,33.1,26.6,13.3,35.2
Changi,9/8/2024,4,3,3,3.2,28.8,32.9,25.3,11.6,51.9
Changi,10/8/2024,4.8,4.2,4.2,4.2,27.4,30.7,25.5,8.6,35.2
Changi,11/8/2024,0.8,0.8,0.8,0.8,28.7,31.4,26.6,11.7,31.5
Changi,12/8/2024,0.4,0.4,0.4,0.4,29.1,31.8,26.9,12.9,44.4
Changi,13/8/2024,0,0,0,0,29.7,32.8,28.1,18.5,44.4
Changi,14/8/2024,17.4,6.6,11.4,11.8,27.5,30.3,25.2,9.5,46.3
Changi,15/8/2024,0,0,0,0,28.4,32.2,25.9,11,44.4
Changi,16/8/2024,0,0,0,0,28.9,31.4,27.5,14.7,42.6
Changi,17/8/2024,0.6,0.4,0.4,0.4,28.5,31.7,26.4,12.6,44.4
Changi,18/8/2024,0,0,0,0,29.1,32.5,27.5,12,35.2
Changi,19/8/2024,0.2,0.2,0.2,0.2,29.4,32.5,27.2,10.4,35.2
Changi,20/8/2024,0.4,0.4,0.4,0.4,28,31.7,24.9,9.4,44.4
Changi,21/8/2024,0,0,0,0,28.2,31.4,25.8,9.5,40.7
Changi,22/8/2024,0,0,0,0,29.4,33.6,27,9.3,44.4
Changi,23/8/2024,0,0,0,0,29,32.5,27.1,10.8,42.6
Changi,24/8/2024,5.6,3.2,4,5.4,26.8,29.1,24.9,11.4,37
Changi,25/8/2024,1.6,1.2,1.6,1.6,27.3,29.9,24.2,8,59.3
Changi,26/8/2024,0,0,0,0,29,31.6,26.7,9.4,31.5
Changi,27/8/2024,0.4,0.2,0.4,0.4,28.9,31.6,25.5,10.3,46.3
Changi,28/8/2024,11,8,10,10.2,28.2,32.4,24,11,37
Changi,29/8/2024,0,0,0,0,28.8,31.6,25.7,10.9,38.9
Changi,30/8/2024,0,0,0,0,29.3,31.9,27.8,13.9,38.9
Changi,31/8/2024,0,0,0,0,29.2,33.1,26.8,11.1,33.3
